,movies,year,imdb_rating,metascore,number_of_votes,n_imdb
219,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
220,Blade Runner,1982,8.2,89,592183,82.0
221,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
222,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
223,District 9,2009,7.9,81,584741,79.0
224,X: First Class,2011,7.8,65,582944,78.0
225,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
226,The Imitation Game,2014,8.0,73,581323,80.0
227,Full Metal Jacket,1987,8.3,76,574404,83.0
228,How to Train Your Dragon,2010,8.1,74,573194,81.0
229,Skyfall,2012,7.8,81,572893,78.0
230,Aliens,1986,8.4,84,571663,84.0
231,The King's Speech,2010,8.0,88,567609,80.0
232,The Revenant,2015,8.0,76,567555,80.0
233,The Bourne Ultimatum,2007,8.0,85,563232,80.0
234,Trainspotting,1996,8.2,83,562192,82.0
235,Million Dollar Baby,2004,8.1,86,559844,81.0
236,Whiplash,2014,8.5,88,559811,85.0
237,The Incredibles,2004,8.0,90,559084,80.0
238,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
239,Transformers,2007,7.1,61,554168,71.0
240,12 Angry Men,1957,8.9,96,551058,89.0
241,Star Trek,2009,8.0,82,545148,80.0
242,Pan's Labyrinth,2006,8.2,98,545111,82.0
243,The Social Network,2010,7.7,95,544959,77.0
244,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
245,Ratatouille,2007,8.0,96,543097,80.0
246,12 Years a Slave,2013,8.1,96,543047,81.0
247,Fargo,1996,8.1,85,533104,81.0
248,Shrek,2001,7.9,84,530118,79.0
249,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
250,World War Z,2013,7.0,63,529104,70.0
251,Twelve Monkeys,1995,8.0,74,524491,80.0
252,Prometheus,2012,7.0,64,521150,70.0
253,Apocalypse Now,1979,8.5,94,520058,85.0
254,Casino Royale,2006,8.0,80,519852,80.0
255,Ted,2012,7.0,62,519682,70.0
256,Spirited Away,2001,8.6,96,516890,86.0
257,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
258,Edge of Tomorrow,2014,7.9,71,516275,79.0
259,Groundhog Day,1993,8.0,72,514963,80.0
260,Argo,2012,7.7,86,513656,77.0
261,Captain America: Civil War,2016,7.8,75,512833,78.0
262,X-Men,2000,7.4,64,512495,74.0
263,2001: A Space Odyssey,1968,8.3,82,509086,83.0
264,Life of Pi,2012,7.9,79,507235,79.0
265,The Amazing Spider-Man,2012,7.0,66,503570,70.0
266,Psycho,1960,8.5,97,502693,85.0
267,Into the Wild,2007,8.1,73,500615,81.0
268,Heat,1995,8.2,76,498521,82.0
269,Drive,2011,7.8,78,497249,78.0
270,Logan,2017,8.1,77,495828,81.0
271,Prisoners,2013,8.1,74,490946,81.0
272,Inside Out,2015,8.2,94,490214,82.0
273,Frozen,2013,7.5,74,488549,75.0
274,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
275,Jaws,1975,8.0,87,484517,80.0
276,Kick-Ass,2010,7.6,66,480883,76.0
277,Looper,2012,7.4,84,480184,74.0
278,Spider-Man 2,2004,7.3,83,473808,73.0
279,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
280,L.A. Confidential,1997,8.3,90,472355,83.0
281,Superbad,2007,7.6,76,465208,76.0
282,The Matrix Reloaded,2003,7.2,62,461122,72.0
283,X2,2003,7.5,68,459676,75.0
284,Arrival,2016,7.9,81,459227,79.0
285,21 Jump Street,2012,7.2,69,459122,72.0
286,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
287,The Bourne Identity,2002,7.9,68,458251,79.0
