,movies,year,imdb_rating,metascore,number_of_votes,n_imdb
1033,Zodiac,2007,7.7,78,366316,77.0
1034,Live Free or Die Hard,2007,7.2,69,361271,72.0
1035,American Gangster,2007,7.8,76,353285,78.0
1036,Knocked Up,2007,7.0,85,322250,70.0
1037,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,83,311415,74.0
1038,Ocean's Thirteen,2007,6.9,62,285877,69.0
1039,The Simpsons Movie,2007,7.4,80,281453,74.0
1040,3:10 to Yuma,2007,7.7,76,260595,77.0
1041,1408,2007,6.8,64,233833,68.0
1042,28 Weeks Later,2007,7.0,78,233648,70.0
1043,Stardust,2007,7.7,66,231433,77.0
1044,Gone Baby Gone,2007,7.7,72,222884,77.0
1045,Atonement,2007,7.8,85,217950,78.0
1046,Sunshine,2007,7.3,64,211968,73.0
1047,Eastern Promises,2007,7.7,82,207646,77.0
1048,Paranormal Activity,2007,6.3,68,201926,63.0
1049,Disturbia,2007,6.9,62,201500,69.0
1050,Grindhouse,2007,7.6,77,165884,76.0
1051,Fracture,2007,7.2,68,160860,72.0
1052,Enchanted,2007,7.1,75,158981,71.0
1053,The Darjeeling Limited,2007,7.2,67,157654,72.0
1054,The Sixth Sense,1999,8.1,64,806444,81.0
1055,Iron Man,2008,7.9,79,802956,79.0
1056,Up,2009,8.3,88,794144,83.0
1057,The Truman Show,1998,8.1,90,789068,81.0
1058,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
1059,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
1060,Reservoir Dogs,1992,8.3,79,779577,83.0
1061,The Lion King,1994,8.5,83,776378,85.0
1062,The Hunger Games,2012,7.2,68,770809,72.0
1063,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
1064,Deadpool,2016,8.0,65,748247,80.0
1065,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
1066,Toy Story,1995,8.3,95,742862,83.0
1067,Jurassic Park,1993,8.1,68,737138,81.0
1068,The Shining,1980,8.4,63,728819,84.0
1069,A Beautiful Mind,2001,8.2,72,727526,82.0
1070,Mad Max: Fury Road,2015,8.1,90,723851,81.0
1071,No Country for Old Men,2007,8.1,91,722825,81.0
1072,Good Will Hunting,1997,8.3,70,721931,83.0
1073,Slumdog Millionaire,2008,8.0,86,716706,80.0
1074,Gone Girl,2014,8.1,79,710979,81.0
1075,Sin City,2005,8.0,74,701757,80.0
1076,Monsters Inc.,2001,8.1,78,695989,81.0
1077,The Terminator,1984,8.0,84,693260,80.0
1078,Die Hard,1988,8.2,70,683978,82.0
1079,Alien,1979,8.5,83,674743,85.0
1080,Gravity,2013,7.7,96,671223,77.0
1081,Donnie Darko,2001,8.1,88,669077,81.0
1082,Requiem for a Dream,2000,8.3,68,666675,83.0
1083,Catch Me If You Can,2002,8.1,75,665288,81.0
1084,A Clockwork Orange,1971,8.3,78,652211,83.0
1085,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
1086,The Hangover,2009,7.7,73,643776,77.0
1087,Toy Story 3,2010,8.3,92,643076,83.0
1088,Iron Man Three,2013,7.2,62,643053,72.0
1089,Gran Torino,2008,8.1,72,641602,81.0
1090,Scarface,1983,8.3,65,627909,83.0
1091,The Big Lebowski,1998,8.1,69,627050,81.0
1092,The Martian,2015,8.0,80,626956,80.0
1093,Amélie,2001,8.3,69,621149,83.0
1094,Black Swan,2010,8.0,79,619293,80.0
1095,City of God,2002,8.6,79,612325,86.0
1096,Spider-Man,2002,7.3,73,611215,73.0
1097,Captain America: The First Avenger,2011,6.9,66,608919,69.0
1098,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
1099,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
1100,I Am Legend,2007,7.2,65,606795,72.0
1101,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
1102,Taxi Driver,1976,8.3,94,600305,83.0
1103,The Pianist,2002,8.5,85,598137,85.0
1104,Silver Linings Playbook,2012,7.8,81,597429,78.0
1105,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
1106,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
1107,Blade Runner,1982,8.2,89,592183,82.0
1108,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
1109,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
1110,District 9,2009,7.9,81,584741,79.0
1111,X: First Class,2011,7.8,65,582944,78.0
1112,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
1113,The Imitation Game,2014,8.0,73,581323,80.0
1114,Full Metal Jacket,1987,8.3,76,574404,83.0
1115,How to Train Your Dragon,2010,8.1,74,573194,81.0
1116,Skyfall,2012,7.8,81,572893,78.0
1117,Aliens,1986,8.4,84,571663,84.0
1118,The King's Speech,2010,8.0,88,567609,80.0
1119,The Revenant,2015,8.0,76,567555,80.0
1120,The Bourne Ultimatum,2007,8.0,85,563232,80.0
1121,Trainspotting,1996,8.2,83,562192,82.0
1122,Million Dollar Baby,2004,8.1,86,559844,81.0
1123,Whiplash,2014,8.5,88,559811,85.0
1124,The Incredibles,2004,8.0,90,559084,80.0
1125,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
1126,Transformers,2007,7.1,61,554168,71.0
1127,12 Angry Men,1957,8.9,96,551058,89.0
1128,Star Trek,2009,8.0,82,545148,80.0
1129,Pan's Labyrinth,2006,8.2,98,545111,82.0
1130,The Social Network,2010,7.7,95,544959,77.0
1131,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
1132,Ratatouille,2007,8.0,96,543097,80.0
1133,12 Years a Slave,2013,8.1,96,543047,81.0
1134,Fargo,1996,8.1,85,533104,81.0
1135,Shrek,2001,7.9,84,530118,79.0
1136,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
1137,World War Z,2013,7.0,63,529104,70.0
1138,Twelve Monkeys,1995,8.0,74,524491,80.0
1139,Prometheus,2012,7.0,64,521150,70.0
1140,Apocalypse Now,1979,8.5,94,520058,85.0
1141,Casino Royale,2006,8.0,80,519852,80.0
1142,Ted,2012,7.0,62,519682,70.0
1143,Spirited Away,2001,8.6,96,516890,86.0
1144,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
1145,Edge of Tomorrow,2014,7.9,71,516275,79.0
1146,Groundhog Day,1993,8.0,72,514963,80.0
1147,Argo,2012,7.7,86,513656,77.0
1148,Captain America: Civil War,2016,7.8,75,512833,78.0
1149,X-Men,2000,7.4,64,512495,74.0
1150,2001: A Space Odyssey,1968,8.3,82,509086,83.0
1151,Life of Pi,2012,7.9,79,507235,79.0
1152,The Amazing Spider-Man,2012,7.0,66,503570,70.0
1153,Psycho,1960,8.5,97,502693,85.0
1154,Into the Wild,2007,8.1,73,500615,81.0
1155,Heat,1995,8.2,76,498521,82.0
1156,Drive,2011,7.8,78,497249,78.0
1157,Logan,2017,8.1,77,495828,81.0
1158,Prisoners,2013,8.1,74,490946,81.0
1159,Inside Out,2015,8.2,94,490214,82.0
1160,Frozen,2013,7.5,74,488549,75.0
1161,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
1162,Jaws,1975,8.0,87,484517,80.0
1163,Kick-Ass,2010,7.6,66,480883,76.0
1164,Looper,2012,7.4,84,480184,74.0
1165,Spider-Man 2,2004,7.3,83,473808,73.0
1166,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
1167,L.A. Confidential,1997,8.3,90,472355,83.0
1168,Superbad,2007,7.6,76,465208,76.0
1169,The Matrix Reloaded,2003,7.2,62,461122,72.0
1170,X2,2003,7.5,68,459676,75.0
1171,Arrival,2016,7.9,81,459227,79.0
1172,21 Jump Street,2012,7.2,69,459122,72.0
1173,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
1174,The Bourne Identity,2002,7.9,68,458251,79.0
1175,The Dark Knight,2008,9.0,82,1945693,90.0
1176,WALL·E,2008,8.4,95,854008,84.0
1177,Iron Man,2008,7.9,79,802956,79.0
1178,Slumdog Millionaire,2008,8.0,86,716706,80.0
1179,Gran Torino,2008,8.1,72,641602,81.0
1180,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
1181,The Hurt Locker,2008,7.6,94,375825,76.0
1182,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,65,373898,62.0
1183,The Incredible Hulk,2008,6.8,61,373593,68.0
1184,Kung Fu Panda,2008,7.6,73,357507,76.0
1185,In Bruges,2008,7.9,67,346896,79.0
1186,Tropic Thunder,2008,7.0,71,339486,70.0
1187,Cloverfield,2008,7.0,64,338501,70.0
1188,Wanted,2008,6.7,64,329247,67.0
1189,Pineapple Express,2008,7.0,64,282251,70.0
1190,Burn After Reading,2008,7.0,63,274781,70.0
1191,The Wrestler,2008,7.9,81,271232,79.0
1192,Forgetting Sarah Marshall,2008,7.2,67,238888,72.0
1193,Hellboy II: The Golden Army,2008,7.0,78,230401,70.0
1194,Vicky Cristina Barcelona,2008,7.1,70,220303,71.0
1195,Changeling,2008,7.8,63,216281,78.0
1196,Role Models,2008,6.9,61,206649,69.0
1197,Let the Right One In,2008,7.9,82,189061,79.0
1198,Madagascar: Escape 2 Africa,2008,6.7,61,170930,67.0
1199,The Chronicles of Narnia: Prince Caspian,2008,6.5,62,169978,65.0
1200,Revolutionary Road,2008,7.3,69,169459,73.0
1201,The Sixth Sense,1999,8.1,64,806444,81.0
1202,Iron Man,2008,7.9,79,802956,79.0
1203,Up,2009,8.3,88,794144,83.0
1204,The Truman Show,1998,8.1,90,789068,81.0
1205,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
1206,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
1207,Reservoir Dogs,1992,8.3,79,779577,83.0
1208,The Lion King,1994,8.5,83,776378,85.0
1209,The Hunger Games,2012,7.2,68,770809,72.0
1210,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
1211,Deadpool,2016,8.0,65,748247,80.0
1212,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
1213,Toy Story,1995,8.3,95,742862,83.0
1214,Jurassic Park,1993,8.1,68,737138,81.0
1215,The Shining,1980,8.4,63,728819,84.0
1216,A Beautiful Mind,2001,8.2,72,727526,82.0
1217,Mad Max: Fury Road,2015,8.1,90,723851,81.0
1218,No Country for Old Men,2007,8.1,91,722825,81.0
1219,Good Will Hunting,1997,8.3,70,721931,83.0
1220,Slumdog Millionaire,2008,8.0,86,716706,80.0
1221,Gone Girl,2014,8.1,79,710979,81.0
1222,Sin City,2005,8.0,74,701757,80.0
1223,Monsters Inc.,2001,8.1,78,695989,81.0
1224,The Terminator,1984,8.0,84,693260,80.0
1225,Die Hard,1988,8.2,70,683978,82.0
1226,Alien,1979,8.5,83,674743,85.0
1227,Gravity,2013,7.7,96,671223,77.0
1228,Donnie Darko,2001,8.1,88,669077,81.0
1229,Requiem for a Dream,2000,8.3,68,666675,83.0
1230,Catch Me If You Can,2002,8.1,75,665288,81.0
1231,A Clockwork Orange,1971,8.3,78,652211,83.0
1232,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
1233,The Hangover,2009,7.7,73,643776,77.0
1234,Toy Story 3,2010,8.3,92,643076,83.0
1235,Iron Man Three,2013,7.2,62,643053,72.0
1236,Gran Torino,2008,8.1,72,641602,81.0
1237,Scarface,1983,8.3,65,627909,83.0
1238,The Big Lebowski,1998,8.1,69,627050,81.0
1239,The Martian,2015,8.0,80,626956,80.0
1240,Amélie,2001,8.3,69,621149,83.0
1241,Black Swan,2010,8.0,79,619293,80.0
1242,City of God,2002,8.6,79,612325,86.0
1243,Spider-Man,2002,7.3,73,611215,73.0
1244,Captain America: The First Avenger,2011,6.9,66,608919,69.0
1245,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
1246,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
1247,I Am Legend,2007,7.2,65,606795,72.0
1248,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
1249,Taxi Driver,1976,8.3,94,600305,83.0
1250,The Pianist,2002,8.5,85,598137,85.0
1251,Silver Linings Playbook,2012,7.8,81,597429,78.0
1252,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
1253,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
1254,Blade Runner,1982,8.2,89,592183,82.0
1255,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
1256,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
1257,District 9,2009,7.9,81,584741,79.0
1258,X: First Class,2011,7.8,65,582944,78.0
1259,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
1260,The Imitation Game,2014,8.0,73,581323,80.0
1261,Full Metal Jacket,1987,8.3,76,574404,83.0
1262,How to Train Your Dragon,2010,8.1,74,573194,81.0
1263,Skyfall,2012,7.8,81,572893,78.0
1264,Aliens,1986,8.4,84,571663,84.0
1265,The King's Speech,2010,8.0,88,567609,80.0
1266,The Revenant,2015,8.0,76,567555,80.0
1267,The Bourne Ultimatum,2007,8.0,85,563232,80.0
1268,Trainspotting,1996,8.2,83,562192,82.0
1269,Million Dollar Baby,2004,8.1,86,559844,81.0
1270,Whiplash,2014,8.5,88,559811,85.0
1271,The Incredibles,2004,8.0,90,559084,80.0
1272,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
1273,Transformers,2007,7.1,61,554168,71.0
1274,12 Angry Men,1957,8.9,96,551058,89.0
1275,Star Trek,2009,8.0,82,545148,80.0
1276,Pan's Labyrinth,2006,8.2,98,545111,82.0
1277,The Social Network,2010,7.7,95,544959,77.0
1278,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
1279,Ratatouille,2007,8.0,96,543097,80.0
1280,12 Years a Slave,2013,8.1,96,543047,81.0
1281,Fargo,1996,8.1,85,533104,81.0
1282,Shrek,2001,7.9,84,530118,79.0
1283,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
1284,World War Z,2013,7.0,63,529104,70.0
1285,Twelve Monkeys,1995,8.0,74,524491,80.0
1286,Prometheus,2012,7.0,64,521150,70.0
1287,Apocalypse Now,1979,8.5,94,520058,85.0
1288,Casino Royale,2006,8.0,80,519852,80.0
1289,Ted,2012,7.0,62,519682,70.0
1290,Spirited Away,2001,8.6,96,516890,86.0
1291,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
1292,Edge of Tomorrow,2014,7.9,71,516275,79.0
1293,Groundhog Day,1993,8.0,72,514963,80.0
1294,Argo,2012,7.7,86,513656,77.0
1295,Captain America: Civil War,2016,7.8,75,512833,78.0
1296,X-Men,2000,7.4,64,512495,74.0
1297,2001: A Space Odyssey,1968,8.3,82,509086,83.0
1298,Life of Pi,2012,7.9,79,507235,79.0
1299,The Amazing Spider-Man,2012,7.0,66,503570,70.0
1300,Psycho,1960,8.5,97,502693,85.0
1301,Into the Wild,2007,8.1,73,500615,81.0
1302,Heat,1995,8.2,76,498521,82.0
1303,Drive,2011,7.8,78,497249,78.0
1304,Logan,2017,8.1,77,495828,81.0
1305,Prisoners,2013,8.1,74,490946,81.0
1306,Inside Out,2015,8.2,94,490214,82.0
1307,Frozen,2013,7.5,74,488549,75.0
1308,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
1309,Jaws,1975,8.0,87,484517,80.0
1310,Kick-Ass,2010,7.6,66,480883,76.0
1311,Looper,2012,7.4,84,480184,74.0
1312,Spider-Man 2,2004,7.3,83,473808,73.0
1313,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
1314,L.A. Confidential,1997,8.3,90,472355,83.0
1315,Superbad,2007,7.6,76,465208,76.0
1316,The Matrix Reloaded,2003,7.2,62,461122,72.0
1317,X2,2003,7.5,68,459676,75.0
1318,Arrival,2016,7.9,81,459227,79.0
1319,21 Jump Street,2012,7.2,69,459122,72.0
1320,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
1321,The Bourne Identity,2002,7.9,68,458251,79.0
1322,Inglourious Basterds,2009,8.3,69,1053407,83.0
1323,Avatar,2009,7.8,83,994673,78.0
1324,Up,2009,8.3,88,794144,83.0
1325,The Hangover,2009,7.7,73,643776,77.0
1326,District 9,2009,7.9,81,584741,79.0
1327,Star Trek,2009,8.0,82,545148,80.0
1328,Zombieland,2009,7.7,73,436941,77.0
1329,(500) Days of Summer,2009,7.7,76,424358,77.0
1330,Harry Potter and the Half-Blood Prince,2009,7.6,78,386561,76.0
1331,Moon,2009,7.9,67,298291,79.0
1332,Up in the Air,2009,7.4,83,291875,74.0
1333,3 Idiots,2009,8.4,67,277012,84.0
1334,Public Enemies,2009,7.0,70,252513,70.0
1335,The Road,2009,7.3,64,199147,73.0
1336,The Girl with the Dragon Tattoo,2009,7.8,76,190763,78.0
1337,Mr. Nobody,2009,7.9,63,185634,79.0
1338,I Love You Man,2009,7.0,70,180357,70.0
1339,Cloudy with a Chance of Meatballs,2009,7.0,66,175674,70.0
1340,Drag Me to Hell,2009,6.6,83,171396,66.0
1341,Coraline,2009,7.7,80,170355,77.0
1342,Fantastic Mr. Fox,2009,7.8,83,166649,78.0
1343,The Secret in Their Eyes,2009,8.2,80,162811,82.0
1344,The Sixth Sense,1999,8.1,64,806444,81.0
1345,Iron Man,2008,7.9,79,802956,79.0
1346,Up,2009,8.3,88,794144,83.0
1347,The Truman Show,1998,8.1,90,789068,81.0
1348,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
1349,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
1350,Reservoir Dogs,1992,8.3,79,779577,83.0
1351,The Lion King,1994,8.5,83,776378,85.0
1352,The Hunger Games,2012,7.2,68,770809,72.0
1353,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
1354,Deadpool,2016,8.0,65,748247,80.0
1355,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
1356,Toy Story,1995,8.3,95,742862,83.0
1357,Jurassic Park,1993,8.1,68,737138,81.0
1358,The Shining,1980,8.4,63,728819,84.0
1359,A Beautiful Mind,2001,8.2,72,727526,82.0
1360,Mad Max: Fury Road,2015,8.1,90,723851,81.0
1361,No Country for Old Men,2007,8.1,91,722825,81.0
1362,Good Will Hunting,1997,8.3,70,721931,83.0
1363,Slumdog Millionaire,2008,8.0,86,716706,80.0
1364,Gone Girl,2014,8.1,79,710979,81.0
1365,Sin City,2005,8.0,74,701757,80.0
1366,Monsters Inc.,2001,8.1,78,695989,81.0
1367,The Terminator,1984,8.0,84,693260,80.0
1368,Die Hard,1988,8.2,70,683978,82.0
1369,Alien,1979,8.5,83,674743,85.0
1370,Gravity,2013,7.7,96,671223,77.0
1371,Donnie Darko,2001,8.1,88,669077,81.0
1372,Requiem for a Dream,2000,8.3,68,666675,83.0
1373,Catch Me If You Can,2002,8.1,75,665288,81.0
1374,A Clockwork Orange,1971,8.3,78,652211,83.0
1375,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
1376,The Hangover,2009,7.7,73,643776,77.0
1377,Toy Story 3,2010,8.3,92,643076,83.0
1378,Iron Man Three,2013,7.2,62,643053,72.0
1379,Gran Torino,2008,8.1,72,641602,81.0
1380,Scarface,1983,8.3,65,627909,83.0
1381,The Big Lebowski,1998,8.1,69,627050,81.0
1382,The Martian,2015,8.0,80,626956,80.0
1383,Amélie,2001,8.3,69,621149,83.0
1384,Black Swan,2010,8.0,79,619293,80.0
1385,City of God,2002,8.6,79,612325,86.0
1386,Spider-Man,2002,7.3,73,611215,73.0
1387,Captain America: The First Avenger,2011,6.9,66,608919,69.0
1388,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
1389,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
1390,I Am Legend,2007,7.2,65,606795,72.0
1391,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
1392,Taxi Driver,1976,8.3,94,600305,83.0
1393,The Pianist,2002,8.5,85,598137,85.0
1394,Silver Linings Playbook,2012,7.8,81,597429,78.0
1395,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
1396,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
1397,Blade Runner,1982,8.2,89,592183,82.0
1398,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
1399,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
1400,District 9,2009,7.9,81,584741,79.0
1401,X: First Class,2011,7.8,65,582944,78.0
1402,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
1403,The Imitation Game,2014,8.0,73,581323,80.0
1404,Full Metal Jacket,1987,8.3,76,574404,83.0
1405,How to Train Your Dragon,2010,8.1,74,573194,81.0
1406,Skyfall,2012,7.8,81,572893,78.0
1407,Aliens,1986,8.4,84,571663,84.0
1408,The King's Speech,2010,8.0,88,567609,80.0
1409,The Revenant,2015,8.0,76,567555,80.0
1410,The Bourne Ultimatum,2007,8.0,85,563232,80.0
1411,Trainspotting,1996,8.2,83,562192,82.0
1412,Million Dollar Baby,2004,8.1,86,559844,81.0
1413,Whiplash,2014,8.5,88,559811,85.0
1414,The Incredibles,2004,8.0,90,559084,80.0
1415,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
1416,Transformers,2007,7.1,61,554168,71.0
1417,12 Angry Men,1957,8.9,96,551058,89.0
1418,Star Trek,2009,8.0,82,545148,80.0
1419,Pan's Labyrinth,2006,8.2,98,545111,82.0
1420,The Social Network,2010,7.7,95,544959,77.0
1421,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
1422,Ratatouille,2007,8.0,96,543097,80.0
1423,12 Years a Slave,2013,8.1,96,543047,81.0
1424,Fargo,1996,8.1,85,533104,81.0
1425,Shrek,2001,7.9,84,530118,79.0
1426,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
1427,World War Z,2013,7.0,63,529104,70.0
1428,Twelve Monkeys,1995,8.0,74,524491,80.0
1429,Prometheus,2012,7.0,64,521150,70.0
1430,Apocalypse Now,1979,8.5,94,520058,85.0
1431,Casino Royale,2006,8.0,80,519852,80.0
1432,Ted,2012,7.0,62,519682,70.0
1433,Spirited Away,2001,8.6,96,516890,86.0
1434,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
1435,Edge of Tomorrow,2014,7.9,71,516275,79.0
1436,Groundhog Day,1993,8.0,72,514963,80.0
1437,Argo,2012,7.7,86,513656,77.0
1438,Captain America: Civil War,2016,7.8,75,512833,78.0
1439,X-Men,2000,7.4,64,512495,74.0
1440,2001: A Space Odyssey,1968,8.3,82,509086,83.0
1441,Life of Pi,2012,7.9,79,507235,79.0
1442,The Amazing Spider-Man,2012,7.0,66,503570,70.0
1443,Psycho,1960,8.5,97,502693,85.0
1444,Into the Wild,2007,8.1,73,500615,81.0
1445,Heat,1995,8.2,76,498521,82.0
1446,Drive,2011,7.8,78,497249,78.0
1447,Logan,2017,8.1,77,495828,81.0
1448,Prisoners,2013,8.1,74,490946,81.0
1449,Inside Out,2015,8.2,94,490214,82.0
1450,Frozen,2013,7.5,74,488549,75.0
1451,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
1452,Jaws,1975,8.0,87,484517,80.0
1453,Kick-Ass,2010,7.6,66,480883,76.0
1454,Looper,2012,7.4,84,480184,74.0
1455,Spider-Man 2,2004,7.3,83,473808,73.0
1456,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
1457,L.A. Confidential,1997,8.3,90,472355,83.0
1458,Superbad,2007,7.6,76,465208,76.0
1459,The Matrix Reloaded,2003,7.2,62,461122,72.0
1460,X2,2003,7.5,68,459676,75.0
1461,Arrival,2016,7.9,81,459227,79.0
1462,21 Jump Street,2012,7.2,69,459122,72.0
1463,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
1464,The Bourne Identity,2002,7.9,68,458251,79.0
1465,Inception,2010,8.8,74,1728916,88.0
1466,Shutter Island,2010,8.1,63,943385,81.0
1467,Toy Story 3,2010,8.3,92,643076,83.0
1468,Black Swan,2010,8.0,79,619293,80.0
1469,How to Train Your Dragon,2010,8.1,74,573194,81.0
1470,The King's Speech,2010,8.0,88,567609,80.0
1471,The Social Network,2010,7.7,95,544959,77.0
1472,Kick-Ass,2010,7.6,66,480883,76.0
1473,Despicable Me,2010,7.7,72,441159,77.0
1474,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,393576,77.0
1475,Tangled,2010,7.8,71,343358,78.0
1476,Scott Pilgrim vs. the World,2010,7.5,69,319241,75.0
1477,Easy A,2010,7.1,72,314928,71.0
1478,127 Hours,2010,7.6,82,311137,76.0
1479,The Town,2010,7.6,74,310321,76.0
1480,The Fighter,2010,7.8,79,304939,78.0
1481,True Grit,2010,7.6,80,270085,76.0
1482,Salt,2010,6.4,65,268510,64.0
1483,The Other Guys,2010,6.7,64,212310,67.0
1484,Megamind,2010,7.3,63,197145,73.0
1485,Unstoppable,2010,6.8,69,166103,68.0
1486,Blue Valentine,2010,7.4,81,162354,74.0
1487,Get Him to the Greek,2010,6.4,65,157516,64.0
1488,Hot Tub Time Machine,2010,6.4,63,149549,64.0
1489,The Sixth Sense,1999,8.1,64,806444,81.0
1490,Iron Man,2008,7.9,79,802956,79.0
1491,Up,2009,8.3,88,794144,83.0
1492,The Truman Show,1998,8.1,90,789068,81.0
1493,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
1494,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
1495,Reservoir Dogs,1992,8.3,79,779577,83.0
1496,The Lion King,1994,8.5,83,776378,85.0
1497,The Hunger Games,2012,7.2,68,770809,72.0
1498,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
1499,Deadpool,2016,8.0,65,748247,80.0
1500,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
1501,Toy Story,1995,8.3,95,742862,83.0
1502,Jurassic Park,1993,8.1,68,737138,81.0
1503,The Shining,1980,8.4,63,728819,84.0
1504,A Beautiful Mind,2001,8.2,72,727526,82.0
1505,Mad Max: Fury Road,2015,8.1,90,723851,81.0
1506,No Country for Old Men,2007,8.1,91,722825,81.0
1507,Good Will Hunting,1997,8.3,70,721931,83.0
1508,Slumdog Millionaire,2008,8.0,86,716706,80.0
1509,Gone Girl,2014,8.1,79,710979,81.0
1510,Sin City,2005,8.0,74,701757,80.0
1511,Monsters Inc.,2001,8.1,78,695989,81.0
1512,The Terminator,1984,8.0,84,693260,80.0
1513,Die Hard,1988,8.2,70,683978,82.0
1514,Alien,1979,8.5,83,674743,85.0
1515,Gravity,2013,7.7,96,671223,77.0
1516,Donnie Darko,2001,8.1,88,669077,81.0
1517,Requiem for a Dream,2000,8.3,68,666675,83.0
1518,Catch Me If You Can,2002,8.1,75,665288,81.0
1519,A Clockwork Orange,1971,8.3,78,652211,83.0
1520,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
1521,The Hangover,2009,7.7,73,643776,77.0
1522,Toy Story 3,2010,8.3,92,643076,83.0
1523,Iron Man Three,2013,7.2,62,643053,72.0
1524,Gran Torino,2008,8.1,72,641602,81.0
1525,Scarface,1983,8.3,65,627909,83.0
1526,The Big Lebowski,1998,8.1,69,627050,81.0
1527,The Martian,2015,8.0,80,626956,80.0
1528,Amélie,2001,8.3,69,621149,83.0
1529,Black Swan,2010,8.0,79,619293,80.0
1530,City of God,2002,8.6,79,612325,86.0
1531,Spider-Man,2002,7.3,73,611215,73.0
1532,Captain America: The First Avenger,2011,6.9,66,608919,69.0
1533,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
1534,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
1535,I Am Legend,2007,7.2,65,606795,72.0
